Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
Capitol Hill Farmers Market – Sunday,Ongoing, Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,47.618892450000004,-122.32016705491071,3,9.1,1.6,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06306171417236328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 101.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.1], 'temperature_2m_min': [1.6]}}"
Replay Matinee: Roxanne Dunbar-Ortiz,3/14/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04208087921142578, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
Fatoumata Diawara,4/5/2024, The Neptune Theatre,Music,University District,,,,,,
Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown,47.6162378,-122.35431328817567,3,9.5,2.1,"{'latitude': 47.646866, 'longitude': -122.345505, 'generationtime_ms': 0.049948692321777344, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 13.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.5], 'temperature_2m_min': [2.1]}}"
Dadi Freyr,3/22/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,3,9.9,2.3,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06306171417236328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.9], 'temperature_2m_min': [2.3]}}"
Meet the Animals,Ongoing, Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495,3,9.0,1.9,"{'latitude': 47.67254, 'longitude': -122.35603, 'generationtime_ms': 0.04398822784423828, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 107.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.0], 'temperature_2m_min': [1.9]}}"
Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown,40.8697559,-73.42561952873208,3,11.5,2.9,"{'latitude': 40.874462, 'longitude': -73.420135, 'generationtime_ms': 0.041961669921875, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 21.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [11.5], 'temperature_2m_min': [2.9]}}"
Veeze,3/14/2024, The Neptune Theatre,Music,University District,,,,,,
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024, Wing Luke Museum,Museums,International District,47.5982461,-122.3228705,3,9.7,2.1,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06306171417236328, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 33.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.7], 'temperature_2m_min': [2.1]}}"
Briston Maroney: Ultrapure Tour,3/18/2024 through 3/19/2024, The Neptune Theatre,Music,University District,,,,,,
Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555,3,9.3,1.7,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.0680685043334961, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 102.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.3], 'temperature_2m_min': [1.7]}}"
Matt Maltese,4/3/2024, The Neptune Theatre,Music,University District,,,,,,
Timmy Trumpet’s Freakshow,3/30/2024, Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,3,9.9,2.3,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.06902217864990234, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 5.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.9], 'temperature_2m_min': [2.3]}}"
Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,3,10.2,1.5,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 19.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [10.2], 'temperature_2m_min': [1.5]}}"
Seattle Kraken vs. Vegas Golden Knights,3/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.0959634780883789, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Rylan Fischer,3/17/2024, Sunset Tavern,Music,Fremont / Ballard,36.0254577,-114.9637699,3,18.4,9.8,"{'latitude': 36.026024, 'longitude': -114.974945, 'generationtime_ms': 0.07998943328857422, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 615.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [18.4], 'temperature_2m_min': [9.8]}}"
Juliet Hooker with Megan Ming Francis: The Politics of Loss,3/25/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06103515625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
Manazma Sheen,Ongoing, Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,3,9.1,1.6,"{'latitude': 47.646866, 'longitude': -122.345505, 'generationtime_ms': 0.04291534423828125, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 86.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.1], 'temperature_2m_min': [1.6]}}"
Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Illuminate: Glass Art for Early Learners,Now through 3/31/2024, Museum of Glass,Museums,South,47.24582405,-122.43381971536058,3,10.3,1.6,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.05996227264404297, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 9.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [10.3], 'temperature_2m_min': [1.6]}}"
The Moth Seattle GrandSLAM,3/22/2024, Town Hall Seattle,Festivals & Special Events,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04398822784423828, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
Shain Shapiro with Greg Scruggs: How Music Builds Cities,3/24/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.051975250244140625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
X:The Life and Times of Malcolm X,Now through 3/9/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,3,9.5,2.0,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.04303455352783203, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 38.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.5], 'temperature_2m_min': [2.0]}}"
Rhapsody in Shmaltz,3/10/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,51,15.4,7.0,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [51], 'temperature_2m_max': [15.4], 'temperature_2m_min': [7.0]}}"
The Wood Brothers,3/8/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,63,8.6,3.3,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.053048133850097656, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [63], 'temperature_2m_max': [8.6], 'temperature_2m_min': [3.3]}}"
Los Huracanes del Norte: A Otro Nivel Tour 2024,3/22/2024, The Neptune Theatre,Music,University District,,,,,,
Festal: Seattle’s French Fest,3/24/2024, Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,47.621255,-122.34974101387942,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06592273712158203, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.06902217864990234, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Public Tour: Journeys Through Time and Space,Now through 3/31/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,3,9.3,1.1,"{'latitude': 47.628304, 'longitude': -122.29689, 'generationtime_ms': 0.0629425048828125, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 137.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.3], 'temperature_2m_min': [1.1]}}"
Text Me Back Live,3/15/2024, Town Hall Seattle,Theatre,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.05602836608886719, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
Jonah Kagen,3/25/2024, Barboza,Music,Capitol Hill / Central District,-13.248885,-41.0275842,3,30.6,22.0,"{'latitude': -13.25, 'longitude': -41.0, 'generationtime_ms': 0.02193450927734375, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 495.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [30.6], 'temperature_2m_min': [22.0]}}"
Tim Berne Trio,3/13/2024, The Royal Room,Music,South Seattle,32.2275723,-110.9685178,51,15.4,7.0,"{'latitude': 32.223236, 'longitude': -110.9651, 'generationtime_ms': 0.07402896881103516, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 725.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [51], 'temperature_2m_max': [15.4], 'temperature_2m_min': [7.0]}}"
Lee Fields and Monophonics,3/15/2024, The Neptune Theatre,Music,University District,,,,,,
